date,module_name,train_timeframe,R,C,alpha,Pvoisin,time_shift,rmse,mae,temp_min,temp_max
2025-02-27 16:37:55.052665,nabu,,0.0053678309920465,1109460.250387287,-3.836454559511112,139.74523205229343,1.0000001113472314,,,,
2025-03-03 11:21:01.619502,caussa,,0.0104963550909724,4041701.5105995936,56.0511432730172,69.43618736433038,3.02856021769806,,,,
2025-03-03 11:55:19.064639,caussa,"['2025-01-24', '2025-02-20']",0.0078978193540823,3664537.343496654,49.10254089894086,101.00066996844888,4.1075502861193325,,,,
2025-03-03 12:03:28.876953,nabu,,0.0055851140080218,1057064.304506292,-10.596935692151945,135.85595828281504,1.9581945932480247,,,,
2025-03-03 16:41:05.937813,caussa,"['2025-01-27', '2025-03-03']",0.007781836882536,3631608.9468481727,47.5309697465059,104.92630320684204,4.3468071357698745,,,,
2025-03-03 16:44:57.388778,caussa,"['2025-02-11', '2025-03-03']",0.0086305521235972,3788145.463734118,42.452418390115696,93.39323406466096,4.045781147792271,,,,
2025-03-05 11:21:37.351063,caussa,,0.0112492600513505,4254958.223833736,49.69788477365171,61.704779778469856,1.051662817223805,0.9657618698559722,0.6632061178813232,,
2025-03-05 11:24:33.465400,nabu,,0.0056541468122439,1148231.8101752964,-11.2602632228677,135.18294809146155,1.9025807530553176,0.9220112694823752,0.6722488584740107,,
2025-03-05 14:05:53.923306,caussa,,0.0086699300770789,3621919.206384422,48.46159066868907,87.62158368230544,3.0210203507064466,0.8666139808686463,0.5733550337973502,-5.0,5.0
2025-03-05 14:09:26.515682,caussa,,0.0154188963180932,4543630.700587817,37.274794787168354,39.77370315358456,-0.9999999999942752,0.971731958738779,0.6802487136816241,5.0,10.0
2025-03-05 14:31:33.221777,caussa,,0.0088431806399847,3433055.269298465,53.1579990236537,85.74967243652299,4.008444874387237,0.8539175636845252,0.5833069967979292,-5.0,5.0
2025-03-05 14:36:44.239932,caussa,,0.0139908239656,4451711.534433828,40.32846482463235,48.88069272168155,2.76105779092302,0.9516797722686124,0.6943445997836503,5.0,10.0
2025-03-05 15:07:34.141915,caussa,"['2025-02-26', '2025-03-05']",0.0093384281801808,2504911.405892699,23.581848168747747,101.45739271258763,11.13215343759367,0.7384548181358515,0.5272686177391868,5.0,10.0
2025-03-05 15:14:45.176301,caussa,"['2025-02-26', '2025-03-05']",0.0093384281801808,2504911.405892699,23.581848168747747,101.45739271258763,11.13215343759367,0.7384548181358515,0.5272686177391868,,
2025-03-05 15:23:49.527942,caussa,"['2025-02-26', '2025-03-05']",0.0093384281801808,2504911.405892699,23.581848168747747,101.45739271258763,11.13215343759367,0.7384548181358515,0.5272686177391868,,
2025-03-05 17:16:20.628506,caussa,,0.0104005772809312,4127163.875312423,52.63795419108428,70.50207993151783,3.028560217714949,0.9497042652788172,0.6741530942756085,,
2025-03-05 17:25:25.255034,caussa,"['2025-01-27', '2025-03-05']",0.007757831225491176,3629547.9286046973,46.28081803412134,108.55045003271725,5.197602269565022,0.9645072448224534,0.6819999658041996,,
