temperature,date
13.69,2025-03-03 08:11:11.248071+00:00
13.7,2025-03-03 08:41:10.932430+00:00
13.73,2025-03-03 09:11:10.872844+00:00
13.77,2025-03-03 09:41:10.565949+00:00
13.78,2025-03-03 10:11:10.388136+00:00
13.85,2025-03-03 10:41:10.050383+00:00
13.92,2025-03-03 11:11:09.864264+00:00
13.97,2025-03-03 11:41:09.683858+00:00
14.1,2025-03-03 12:11:09.368043+00:00
14.19,2025-03-03 12:41:09.000107+00:00
14.32,2025-03-03 13:11:08.800323+00:00
14.47,2025-03-03 13:41:08.658217+00:00
14.59,2025-03-03 14:11:08.474684+00:00
14.6,2025-03-03 15:41:07.640535+00:00
14.55,2025-03-03 16:11:07.443396+00:00
14.48,2025-03-03 16:41:07.189039+00:00
14.43,2025-03-03 17:11:06.918579+00:00
14.34,2025-03-03 17:41:06.712859+00:00
14.34,2025-03-03 17:46:50.118881+00:00
14.26,2025-03-03 18:11:06.543185+00:00
14.17,2025-03-03 18:41:06.219383+00:00
14.09,2025-03-03 19:11:05.989393+00:00
14.03,2025-03-03 19:41:05.725198+00:00
13.97,2025-03-03 20:11:05.412646+00:00
13.9,2025-03-03 20:41:05.147878+00:00
13.83,2025-03-03 21:11:04.911256+00:00
13.8,2025-03-03 21:41:04.696483+00:00
13.71,2025-03-03 22:11:04.507523+00:00
13.64,2025-03-03 22:41:04.279126+00:00
13.59,2025-03-03 23:11:04.069958+00:00
13.48,2025-03-03 23:41:03.819690+00:00
13.41,2025-03-04 00:11:03.630451+00:00
13.33,2025-03-04 00:41:03.362854+00:00
13.26,2025-03-04 01:11:03.137537+00:00
13.2,2025-03-04 01:41:02.890239+00:00
13.15,2025-03-04 02:11:02.631420+00:00
13.07,2025-03-04 02:41:02.411323+00:00
12.99,2025-03-04 03:11:02.230441+00:00
12.91,2025-03-04 03:41:01.809282+00:00
12.84,2025-03-04 04:11:01.679783+00:00
12.8,2025-03-04 04:41:01.317964+00:00
12.83,2025-03-04 05:11:01.040933+00:00
12.86,2025-03-04 05:41:00.875606+00:00
12.93,2025-03-04 06:11:00.581301+00:00
13.02,2025-03-04 06:41:00.295062+00:00
13.1,2025-03-04 07:11:00.111009+00:00
13.24,2025-03-04 07:40:59.744851+00:00
13.38,2025-03-04 08:10:59.514163+00:00
13.48,2025-03-04 08:40:59.228195+00:00
13.61,2025-03-04 09:10:58.952245+00:00
