temperature,date
12.6,2025-01-05 18:58:34.151434+00:00
11.5,2025-01-05 19:13:34.139581+00:00
11.9,2025-01-05 20:13:34.189553+00:00
11.6,2025-01-05 22:13:34.138874+00:00
12.4,2025-01-05 22:58:34.138786+00:00
11.5,2025-01-05 23:13:34.138078+00:00
11.6,2025-01-05 23:58:34.138714+00:00
12.0,2025-01-06 00:13:34.138787+00:00
11.9,2025-01-06 01:13:34.149761+00:00
11.2,2025-01-06 02:13:34.146429+00:00
10.9,2025-01-06 03:13:34.160212+00:00
12.6,2025-01-06 03:58:34.147311+00:00
10.7,2025-01-06 04:13:34.139380+00:00
10.9,2025-01-06 05:13:34.175372+00:00
11.1,2025-01-06 06:13:34.295516+00:00
10.5,2025-01-06 07:13:34.145823+00:00
12.2,2025-01-06 07:58:34.153252+00:00
11.6,2025-01-06 08:13:34.145708+00:00
11.7,2025-01-06 09:13:34.156596+00:00
11.1,2025-01-06 10:13:34.139128+00:00
10.5,2025-01-06 11:13:34.139277+00:00
9.6,2025-01-06 11:58:38.139398+00:00
10.1,2025-01-06 12:13:38.146427+00:00
9.5,2025-01-06 13:13:38.140679+00:00
9.6,2025-01-06 13:58:38.138731+00:00
9.0,2025-01-06 14:13:38.138807+00:00
8.6,2025-01-06 15:13:38.145572+00:00
7.6,2025-01-06 15:58:38.138682+00:00
8.1,2025-01-06 16:13:38.138121+00:00
7.6,2025-01-06 16:58:38.138848+00:00
7.7,2025-01-06 17:13:38.139356+00:00
8.0,2025-01-06 17:58:38.137332+00:00
7.7,2025-01-06 18:13:38.139887+00:00
7.9,2025-01-06 18:58:38.147341+00:00
7.1,2025-01-06 19:13:38.145044+00:00
7.7,2025-01-06 19:58:38.146784+00:00
7.4,2025-01-06 20:13:38.138764+00:00
7.5,2025-01-06 20:58:38.148025+00:00
7.2,2025-01-06 21:13:38.140574+00:00
7.0,2025-01-06 21:58:38.145687+00:00
6.9,2025-01-06 22:13:38.138462+00:00
6.6,2025-01-06 23:13:38.138380+00:00
6.9,2025-01-06 23:58:38.147232+00:00
6.6,2025-01-07 00:13:38.139095+00:00
6.5,2025-01-07 01:13:38.157739+00:00
5.9,2025-01-07 02:13:38.150652+00:00
5.6,2025-01-07 03:13:38.153170+00:00
5.2,2025-01-07 03:58:38.149007+00:00
5.5,2025-01-07 04:13:38.139844+00:00
5.1,2025-01-07 05:13:38.138729+00:00
5.6,2025-01-07 05:58:38.140626+00:00
5.4,2025-01-07 06:13:38.160553+00:00
5.1,2025-01-07 06:58:38.138481+00:00
5.9,2025-01-07 10:13:38.150969+00:00
5.4,2025-01-07 10:58:38.140026+00:00
6.1,2025-01-07 11:13:38.139173+00:00
6.9,2025-01-07 12:13:38.139005+00:00
7.6,2025-01-07 12:58:38.149131+00:00
7.4,2025-01-07 13:13:38.139063+00:00
7.6,2025-01-07 13:58:38.140255+00:00
7.4,2025-01-07 14:13:38.139942+00:00
6.9,2025-01-07 16:13:38.139374+00:00
7.0,2025-01-07 16:58:38.140327+00:00
6.7,2025-01-07 17:58:38.138240+00:00
6.9,2025-01-07 18:13:38.140842+00:00
6.7,2025-01-07 18:58:38.150035+00:00
6.6,2025-01-07 19:58:38.227799+00:00
6.7,2025-01-07 20:13:38.145112+00:00
6.6,2025-01-07 22:13:38.138206+00:00
