state,date
on,2025-02-06 17:46:08.844953+00:00
off,2025-02-06 19:05:21.430947+00:00
on,2025-02-06 21:11:03.861338+00:00
off,2025-02-06 22:34:46.819818+00:00
on,2025-02-07 08:46:29.365378+00:00
off,2025-02-07 11:25:32.805694+00:00
on,2025-02-07 12:30:29.718904+00:00
off,2025-02-07 13:09:15.579563+00:00
on,2025-02-07 14:22:56.300208+00:00
off,2025-02-07 15:16:28.812840+00:00
on,2025-02-07 16:47:11.450510+00:00
off,2025-02-07 17:43:47.913991+00:00
on,2025-02-07 19:36:23.699651+00:00
off,2025-02-07 20:28:45.411232+00:00
on,2025-02-07 22:48:12.014087+00:00
off,2025-02-07 23:00:00.233372+00:00
on,2025-02-08 07:42:18.395166+00:00
off,2025-02-08 09:41:16.905535+00:00
on,2025-02-08 23:31:05.488304+00:00
off,2025-02-08 23:31:43.308222+00:00
on,2025-02-09 06:00:40.694696+00:00
off,2025-02-09 07:57:10.195276+00:00
on,2025-02-11 14:58:34.408328+00:00
off,2025-02-11 17:10:33.607809+00:00
on,2025-02-11 18:10:30.547935+00:00
off,2025-02-11 19:17:21.710399+00:00
on,2025-02-11 19:17:27.719550+00:00
off,2025-02-11 19:20:33.706343+00:00
on,2025-02-11 21:35:08.486741+00:00
off,2025-02-11 22:40:35.875590+00:00
on,2025-02-12 06:34:54.206061+00:00
off,2025-02-12 08:51:31.632303+00:00
on,2025-02-12 10:13:25.501181+00:00
off,2025-02-12 11:07:37.616103+00:00
on,2025-02-12 12:40:45.604400+00:00
off,2025-02-12 13:26:23.790667+00:00
on,2025-02-12 15:15:18.108673+00:00
off,2025-02-12 16:09:10.129596+00:00
on,2025-02-12 17:50:51.700512+00:00
off,2025-02-12 18:48:04.866637+00:00
on,2025-02-12 21:52:40.855735+00:00
off,2025-02-12 22:45:53.561223+00:00
on,2025-02-13 19:04:48.543203+00:00
off,2025-02-13 21:27:43.927021+00:00
on,2025-02-14 06:55:13.115970+00:00
off,2025-02-14 09:38:37.850947+00:00
on,2025-02-14 15:28:39.484138+00:00
off,2025-02-14 16:09:56.446582+00:00
on,2025-02-14 17:53:59.614992+00:00
off,2025-02-14 18:39:59.303197+00:00
on,2025-02-15 12:19:27.464725+00:00
off,2025-02-15 13:58:18.382811+00:00
on,2025-02-16 11:22:37.234977+00:00
off,2025-02-16 13:18:01.506905+00:00
on,2025-02-16 15:40:49.543113+00:00
off,2025-02-16 16:46:57.849137+00:00
on,2025-02-17 17:57:01.912594+00:00
off,2025-02-17 19:42:47.528856+00:00
on,2025-02-17 20:56:29.611267+00:00
off,2025-02-17 21:24:42.672991+00:00
on,2025-02-17 22:24:46.928156+00:00
off,2025-02-17 23:00:00.511560+00:00
on,2025-02-19 06:01:09.065636+00:00
off,2025-02-19 07:38:02.774482+00:00
on,2025-02-19 08:33:16.862922+00:00
off,2025-02-19 09:59:35.063242+00:00
on,2025-02-19 12:19:43.585705+00:00
off,2025-02-19 13:17:08.162289+00:00
on,2025-02-19 20:31:19.146106+00:00
off,2025-02-19 21:39:06.303949+00:00
on,2025-02-20 18:33:56.365113+00:00
off,2025-02-20 19:50:04.691464+00:00
on,2025-02-21 08:09:49.149680+00:00
off,2025-02-21 09:08:39.240133+00:00
on,2025-02-22 19:48:09.841232+00:00
off,2025-02-22 20:56:21.156389+00:00
on,2025-02-23 12:15:39.015091+00:00
off,2025-02-23 12:16:01.823484+00:00
