state,date
on,2025-02-20 13:17:06.900017+00:00
off,2025-02-20 14:10:24.798559+00:00
on,2025-02-20 14:22:28.080215+00:00
off,2025-02-20 15:16:42.873206+00:00
on,2025-02-20 21:54:40.933894+00:00
off,2025-02-20 22:06:44.591335+00:00
on,2025-02-20 23:00:00.016301+00:00
off,2025-02-20 23:12:02.694021+00:00
on,2025-02-21 00:30:25.989077+00:00
off,2025-02-21 00:42:29.673318+00:00
on,2025-02-21 01:54:51.208498+00:00
off,2025-02-21 02:06:09.437937+00:00
on,2025-02-21 03:30:34.429328+00:00
off,2025-02-21 03:42:38.023242+00:00
on,2025-02-21 05:00:00.006459+00:00
off,2025-02-21 05:33:24.615997+00:00
on,2025-02-21 05:57:31.277693+00:00
off,2025-02-21 06:09:34.712175+00:00
on,2025-02-21 06:27:39.698744+00:00
off,2025-02-21 06:39:43.136831+00:00
on,2025-02-21 06:57:48.187545+00:00
off,2025-02-21 07:52:02.982914+00:00
on,2025-02-21 08:10:07.902051+00:00
off,2025-02-21 08:22:11.141305+00:00
on,2025-02-21 08:40:16.094473+00:00
off,2025-02-21 09:28:29.276971+00:00
on,2025-02-21 09:58:37.463402+00:00
off,2025-02-21 10:16:42.502018+00:00
on,2025-02-21 10:40:49.038518+00:00
off,2025-02-21 11:04:55.642936+00:00
on,2025-02-21 11:29:02.207004+00:00
off,2025-02-21 11:47:07.126539+00:00
on,2025-02-21 12:11:13.713028+00:00
off,2025-02-21 12:29:18.619540+00:00
on,2025-02-21 12:47:23.584800+00:00
off,2025-02-21 12:59:26.845290+00:00
on,2025-02-21 13:17:31.846880+00:00
off,2025-02-21 13:35:36.821993+00:00
on,2025-02-21 13:59:43.392159+00:00
off,2025-02-21 14:23:49.981678+00:00
on,2025-02-21 14:53:58.262140+00:00
off,2025-02-21 15:18:04.877546+00:00
on,2025-02-21 15:54:14.777064+00:00
off,2025-02-21 16:18:21.418631+00:00
on,2025-02-21 16:42:28.010024+00:00
off,2025-02-21 16:54:31.325604+00:00
on,2025-02-21 17:12:36.286133+00:00
off,2025-02-21 17:30:41.238692+00:00
on,2025-02-21 17:48:46.162235+00:00
off,2025-02-21 18:00:00.007597+00:00
on,2025-02-22 06:00:00.007612+00:00
off,2025-02-22 06:15:02.967792+00:00
on,2025-02-22 07:27:24.081604+00:00
off,2025-02-22 07:39:27.621333+00:00
on,2025-02-22 08:37:15.752334+00:00
off,2025-02-22 09:33:40.384724+00:00
on,2025-02-22 09:57:46.875718+00:00
off,2025-02-22 10:58:03.334882+00:00
on,2025-02-22 11:34:13.118655+00:00
off,2025-02-22 12:16:24.702642+00:00
on,2025-02-22 12:52:34.595520+00:00
off,2025-02-22 13:22:42.885375+00:00
on,2025-02-22 13:58:52.788976+00:00
off,2025-02-22 14:35:02.714545+00:00
on,2025-02-22 15:05:10.971507+00:00
off,2025-02-22 15:23:15.939803+00:00
on,2025-02-22 15:59:25.846207+00:00
off,2025-02-22 16:29:34.084125+00:00
on,2025-02-23 06:00:00.013974+00:00
off,2025-02-23 06:18:54.046347+00:00
on,2025-02-23 07:13:09.917038+00:00
off,2025-02-23 07:25:13.476399+00:00
on,2025-02-23 08:37:34.710559+00:00
off,2025-02-23 08:49:38.270407+00:00
on,2025-02-23 10:08:01.267667+00:00
off,2025-02-23 10:20:04.829988+00:00
on,2025-02-23 11:56:33.198466+00:00
off,2025-02-23 12:08:36.774585+00:00
on,2025-02-23 13:57:08.597110+00:00
off,2025-02-23 14:09:12.165493+00:00
on,2025-02-23 16:45:57.988241+00:00
off,2025-02-23 16:58:01.556003+00:00
on,2025-02-23 23:00:00.017088+00:00
off,2025-02-23 23:17:55.265241+00:00
on,2025-02-24 01:48:40.331730+00:00
off,2025-02-24 02:00:43.982806+00:00
on,2025-02-24 04:07:21.708292+00:00
off,2025-02-24 04:19:25.314716+00:00
on,2025-02-24 05:00:00.007679+00:00
off,2025-02-24 05:49:51.688945+00:00
on,2025-02-24 06:32:03.451744+00:00
off,2025-02-24 07:26:18.643273+00:00
on,2025-02-24 07:44:23.564257+00:00
off,2025-02-24 08:20:33.519313+00:00
on,2025-02-24 08:56:43.330738+00:00
off,2025-02-24 09:32:53.260453+00:00
on,2025-02-24 10:09:03.088967+00:00
off,2025-02-24 10:21:06.391319+00:00
on,2025-02-24 10:45:12.987288+00:00
off,2025-02-24 11:09:19.597795+00:00
on,2025-02-24 11:33:26.156254+00:00
off,2025-02-24 11:51:31.086950+00:00
on,2025-02-24 12:21:39.235097+00:00
off,2025-02-24 12:33:42.514986+00:00
on,2025-02-24 12:57:49.068464+00:00
off,2025-02-24 13:21:55.624757+00:00
on,2025-02-24 13:52:03.831752+00:00
off,2025-02-24 14:10:08.751107+00:00
on,2025-02-24 14:46:18.581363+00:00
off,2025-02-24 15:10:25.142696+00:00
on,2025-02-24 15:46:35.013523+00:00
off,2025-02-24 16:04:39.981332+00:00
on,2025-02-24 16:46:51.390918+00:00
off,2025-02-24 17:04:56.286745+00:00
on,2025-02-24 17:35:04.378443+00:00
off,2025-02-24 17:47:07.641072+00:00
on,2025-02-25 06:00:00.009350+00:00
off,2025-02-25 06:13:51.785514+00:00
on,2025-02-25 07:50:19.979496+00:00
off,2025-02-25 08:02:23.550678+00:00
on,2025-02-25 09:50:55.250405+00:00
off,2025-02-25 10:02:26.970467+00:00
on,2025-02-25 12:03:02.242832+00:00
off,2025-02-25 12:15:05.775816+00:00
on,2025-02-25 14:21:42.980888+00:00
off,2025-02-25 14:33:46.564943+00:00
on,2025-02-25 16:19:39.789896+00:00
off,2025-02-25 16:28:20.280628+00:00
on,2025-02-25 19:14:41.813826+00:00
off,2025-02-25 19:28:31.637804+00:00
on,2025-02-25 20:58:58.076622+00:00
off,2025-02-25 21:11:01.629896+00:00
on,2025-02-25 22:53:31.697049+00:00
off,2025-02-25 23:00:00.012071+00:00
on,2025-02-26 06:00:00.012502+00:00
off,2025-02-26 06:17:38.972684+00:00
on,2025-02-26 07:23:58.435289+00:00
off,2025-02-26 07:36:02.000067+00:00
on,2025-02-27 13:03:03.297536+00:00
off,2025-02-27 13:33:11.412467+00:00
on,2025-02-27 14:39:30.695844+00:00
off,2025-02-27 15:03:37.788497+00:00
on,2025-02-27 16:15:58.872105+00:00
off,2025-02-27 16:34:04.205014+00:00
on,2025-02-27 19:47:01.952438+00:00
off,2025-02-27 19:59:05.610484+00:00
on,2025-02-27 21:47:38.308938+00:00
off,2025-02-27 21:59:41.952333+00:00
on,2025-02-27 23:00:00.019700+00:00
off,2025-02-27 23:18:05.512768+00:00
on,2025-02-28 00:30:26.990710+00:00
off,2025-02-28 00:48:32.426343+00:00
on,2025-02-28 02:12:57.539232+00:00
off,2025-02-28 02:31:02.946498+00:00
on,2025-02-28 04:01:29.829155+00:00
off,2025-02-28 04:13:33.436949+00:00
on,2025-02-28 05:00:00.013731+00:00
off,2025-02-28 05:50:01.678678+00:00
on,2025-02-28 06:26:11.666524+00:00
off,2025-02-28 06:44:16.740738+00:00
on,2025-02-28 07:00:00.003467+00:00
off,2025-02-28 07:50:35.048884+00:00
on,2025-02-28 08:02:38.364116+00:00
off,2025-02-28 08:26:44.974762+00:00
on,2025-02-28 08:44:49.910133+00:00
off,2025-02-28 09:33:03.190992+00:00
on,2025-02-28 10:03:11.475366+00:00
off,2025-02-28 10:45:23.148318+00:00
on,2025-02-28 11:15:31.382626+00:00
off,2025-02-28 12:03:44.695265+00:00
on,2025-02-28 12:33:52.882298+00:00
off,2025-02-28 13:22:06.143637+00:00
on,2025-02-28 13:58:16.009894+00:00
off,2025-02-28 14:46:29.372716+00:00
on,2025-02-28 15:22:41.251943+00:00
off,2025-02-28 16:10:52.477389+00:00
on,2025-02-28 16:47:02.277787+00:00
off,2025-02-28 17:29:13.905977+00:00
on,2025-02-28 17:59:22.104414+00:00
off,2025-02-28 18:00:00.006905+00:00
on,2025-02-28 22:42:45.078149+00:00
off,2025-02-28 22:54:48.703619+00:00
