temperature,date
12.2,2025-02-18 04:12:29.163256+00:00
12,2025-02-18 04:18:31.006604+00:00
11.8,2025-02-18 04:24:32.852157+00:00
12,2025-02-18 04:30:34.687047+00:00
12.8,2025-02-18 04:36:36.506153+00:00
13.6,2025-02-18 04:42:38.295815+00:00
13.4,2025-02-18 04:48:40.094725+00:00
13.2,2025-02-18 04:54:41.900051+00:00
13,2025-02-18 05:00:43.713300+00:00
12.8,2025-02-18 05:06:45.454510+00:00
12.6,2025-02-18 05:12:47.303647+00:00
12.4,2025-02-18 05:18:49.096903+00:00
12.2,2025-02-18 05:24:50.910132+00:00
12,2025-02-18 05:36:54.571182+00:00
11.8,2025-02-18 05:42:56.422050+00:00
12.4,2025-02-18 05:55:00.109159+00:00
12.8,2025-02-18 06:01:01.848275+00:00
13.6,2025-02-18 06:07:03.647517+00:00
14.6,2025-02-18 06:12:32.830590+00:00
14.8,2025-02-18 06:18:34.621960+00:00
14.6,2025-02-18 06:24:36.378382+00:00
14.2,2025-02-18 06:30:38.151426+00:00
14,2025-02-18 06:36:39.876844+00:00
13.8,2025-02-18 06:42:41.694945+00:00
14.8,2025-02-18 06:54:18.134210+00:00
15.2,2025-02-18 07:00:19.877858+00:00
14.8,2025-02-18 07:06:21.635203+00:00
14.4,2025-02-18 07:12:23.394975+00:00
14,2025-02-18 07:18:25.171381+00:00
13.6,2025-02-18 07:24:26.967878+00:00
14.6,2025-02-18 07:35:58.384349+00:00
15,2025-02-18 07:42:00.121785+00:00
14.8,2025-02-18 07:48:01.882349+00:00
14.2,2025-02-18 07:54:03.657393+00:00
14,2025-02-18 08:00:05.443359+00:00
13.6,2025-02-18 08:06:07.229838+00:00
14.4,2025-02-18 08:18:10.785932+00:00
14.6,2025-02-18 08:24:12.534226+00:00
14.2,2025-02-18 08:36:16.018725+00:00
13.8,2025-02-18 08:42:17.743332+00:00
14.6,2025-02-18 08:54:21.295222+00:00
15,2025-02-18 09:00:23.024940+00:00
14.8,2025-02-18 09:06:24.703672+00:00
14.4,2025-02-18 09:12:26.457707+00:00
14,2025-02-18 09:18:28.271167+00:00
13.8,2025-02-18 09:24:30.035198+00:00
14.6,2025-02-18 09:36:33.550932+00:00
14.8,2025-02-18 09:42:35.292309+00:00
14.6,2025-02-18 09:48:37.041181+00:00
14.2,2025-02-18 09:54:38.787482+00:00
14,2025-02-18 10:00:40.566593+00:00
13.8,2025-02-18 10:06:42.361346+00:00
14.4,2025-02-18 10:18:45.920014+00:00
14.6,2025-02-18 10:24:47.675799+00:00
14.2,2025-02-18 10:36:51.206727+00:00
13.8,2025-02-18 10:42:52.979520+00:00
14.4,2025-02-18 10:54:56.490256+00:00
14.6,2025-02-18 11:00:58.229913+00:00
14.2,2025-02-18 11:13:01.756138+00:00
14,2025-02-18 11:19:03.537325+00:00
13.6,2025-02-18 11:25:05.325172+00:00
14.2,2025-02-18 11:37:08.895370+00:00
14.4,2025-02-18 11:43:10.645811+00:00
14.2,2025-02-18 11:55:14.174066+00:00
13.8,2025-02-18 12:01:15.943910+00:00
14.2,2025-02-18 12:13:19.470554+00:00
14.4,2025-02-18 12:19:21.163791+00:00
14.2,2025-02-18 12:31:24.665506+00:00
14,2025-02-18 12:37:26.479986+00:00
13.8,2025-02-18 12:43:28.254069+00:00
14.2,2025-02-18 12:55:31.804742+00:00
14.4,2025-02-18 13:01:33.556023+00:00
14.2,2025-02-18 13:13:37.070165+00:00
14,2025-02-18 13:19:38.828541+00:00
13.8,2025-02-18 13:25:40.605494+00:00
14.4,2025-02-18 13:37:44.131227+00:00
14.6,2025-02-18 13:43:45.889301+00:00
14.4,2025-02-18 13:49:47.623906+00:00
14.2,2025-02-18 14:01:51.139873+00:00
14,2025-02-18 14:07:52.901043+00:00
13.8,2025-02-18 14:13:54.672465+00:00
14.2,2025-02-18 14:25:58.179607+00:00
14.6,2025-02-18 14:31:59.925081+00:00
14.4,2025-02-18 14:44:03.398006+00:00
14.2,2025-02-18 14:50:05.139551+00:00
13.8,2025-02-18 14:56:06.909288+00:00
14.2,2025-02-18 15:08:10.437313+00:00
14.4,2025-02-18 15:14:12.195163+00:00
14.2,2025-02-18 15:32:17.416654+00:00
14,2025-02-18 15:38:19.236171+00:00
13.8,2025-02-18 15:44:21.021107+00:00
14.2,2025-02-18 15:56:24.570560+00:00
14.4,2025-02-18 16:02:26.331718+00:00
15,2025-02-18 16:14:29.846004+00:00
15.8,2025-02-18 16:20:31.579829+00:00
16.6,2025-02-18 16:26:33.280200+00:00
17.2,2025-02-18 16:32:34.927231+00:00
17.6,2025-02-18 16:38:36.643206+00:00
18.4,2025-02-18 16:44:38.291401+00:00
19,2025-02-18 16:50:39.938848+00:00
19.6,2025-02-18 16:56:41.564020+00:00
19.2,2025-02-18 17:08:44.802840+00:00
18.6,2025-02-18 17:14:46.448134+00:00
18,2025-02-18 17:20:48.055221+00:00
17.6,2025-02-18 17:26:49.775367+00:00
17.2,2025-02-18 17:32:51.415597+00:00
16.8,2025-02-18 17:38:53.129239+00:00
16.4,2025-02-18 17:44:54.884789+00:00
16.2,2025-02-18 17:50:56.549295+00:00
15.8,2025-02-18 17:56:58.332671+00:00
15.4,2025-02-18 18:03:00.064266+00:00
15.2,2025-02-18 18:09:01.795614+00:00
14.8,2025-02-18 18:15:03.543378+00:00
14.6,2025-02-18 18:21:05.268700+00:00
14.4,2025-02-18 18:27:07.032576+00:00
14.2,2025-02-18 18:33:08.800747+00:00
14,2025-02-18 18:39:10.578779+00:00
13.8,2025-02-18 18:51:14.163098+00:00
13.6,2025-02-18 18:57:15.960310+00:00
14.6,2025-02-18 19:02:43.720133+00:00
15,2025-02-18 19:08:45.456460+00:00
14.8,2025-02-18 19:20:48.966250+00:00
14.6,2025-02-18 19:26:50.729616+00:00
14.2,2025-02-18 19:32:52.501049+00:00
14,2025-02-18 19:38:54.280382+00:00
13.8,2025-02-18 19:44:56.068407+00:00
14.6,2025-02-18 19:56:59.626231+00:00
15.2,2025-02-18 20:03:01.387721+00:00
15,2025-02-18 20:09:03.139521+00:00
14.8,2025-02-18 20:15:04.916181+00:00
14.6,2025-02-18 20:21:06.667004+00:00
14.2,2025-02-18 20:27:08.396936+00:00
14,2025-02-18 20:39:12.002960+00:00
13.8,2025-02-18 20:45:13.774413+00:00
13.6,2025-02-18 20:51:15.554491+00:00
14.6,2025-02-18 20:56:46.342973+00:00
15.2,2025-02-18 21:02:48.095719+00:00
15,2025-02-18 21:08:49.897550+00:00
14.8,2025-02-18 21:14:51.658075+00:00
14.4,2025-02-18 21:20:53.416293+00:00
14.2,2025-02-18 21:26:55.161535+00:00
14,2025-02-18 21:32:56.946384+00:00
13.6,2025-02-18 21:38:58.770028+00:00
14.6,2025-02-18 21:50:50.593732+00:00
15,2025-02-18 21:56:52.336134+00:00
14.6,2025-02-18 22:08:55.907528+00:00
14.4,2025-02-18 22:14:57.674458+00:00
14,2025-02-18 22:20:59.453523+00:00
13.8,2025-02-18 22:27:01.246029+00:00
